T,t,pH,[H+],%yield xylose,CO2,sulfuric acid,acetic acid,formic acid,organic,inorganic,[H+]5,[H+]1,[H+]3,[H+]7
130,0,7,0.0000001,0,0,0,0,0,0,0,0.01,0.000001,0.0001,1
130,30,7,0.0000001,0.0920,0,0,0,0,0,0,0.01,0.000001,0.0001,1
150,0,7,0.0000001,0,0,0,0,0,0,0,0.01,0.000001,0.0001,1
150,30,7,0.0000001,0.1365,0,0,0,0,0,0,0.01,0.000001,0.0001,1
170,0,7,0.0000001,0,0,0,0,0,0,0,0.01,0.000001,0.0001,1
170,30,7,0.0000001,0.1679,0,0,0,0,0,0,0.01,0.000001,0.0001,1
170,60,7,0.0000001,0.5764,0,0,0,0,0,0,0.01,0.000001,0.0001,1
170,90,7,0.0000001,1.5676,0,0,0,0,0,0,0.01,0.000001,0.0001,1
190,0,7,0.0000001,0,0,0,0,0,0,0,0.01,0.000001,0.0001,1
190,30,7,0.0000001,1.3068,0,0,0,0,0,0,0.01,0.000001,0.0001,1
190,60,7,0.0000001,1.4186,0,0,0,0,0,0,0.01,0.000001,0.0001,1
190,90,7,0.0000001,8.3236,0,0,0,0,0,0,0.01,0.000001,0.0001,1
210,0,7,0.0000001,0,0,0,0,0,0,0,0.01,0.000001,0.0001,1
210,30,7,0.0000001,2.8518,0,0,0,0,0,0,0.01,0.000001,0.0001,1
210,60,7,0.0000001,8.7878,0,0,0,0,0,0,0.01,0.000001,0.0001,1
210,90,7,0.0000001,10.1352,0,0,0,0,0,0,0.01,0.000001,0.0001,1
230,0,7,0.0000001,0,0,0,0,0,0,0,0.01,0.000001,0.0001,1
230,30,7,0.0000001,9.9799,0,0,0,0,0,0,0.01,0.000001,0.0001,1
230,60,7,0.0000001,1.8381,0,0,0,0,0,0,0.01,0.000001,0.0001,1
230,90,7,0.0000001,0.7719,0,0,0,0,0,0,0.01,0.000001,0.0001,1
250,0,7,0.0000001,0,0,0,0,0,0,0,0.01,0.000001,0.0001,1
250,30,7,0.0000001,1.7540,0,0,0,0,0,0,0.01,0.000001,0.0001,1
250,60,7,0.0000001,1.0352,0,0,0,0,0,0,0.01,0.000001,0.0001,1
250,90,7,0.0000001,0.9382,0,0,0,0,0,0,0.01,0.000001,0.0001,1
130,0,3,0.001,0,1,0,0,0,0,1,100,0.01,1,10000
130,30,3,0.001,0.0742,1,0,0,0,0,1,100,0.01,1,10000
150,0,3,0.001,0,1,0,0,0,0,1,100,0.01,1,10000
150,30,3,0.001,0.1022,1,0,0,0,0,1,100,0.01,1,10000
170,0,3,0.001,0,1,0,0,0,0,1,100,0.01,1,10000
170,30,3,0.001,0.2756,1,0,0,0,0,1,100,0.01,1,10000
170,60,3,0.001,0.9165,1,0,0,0,0,1,100,0.01,1,10000
170,90,3,0.001,2.0587,1,0,0,0,0,1,100,0.01,1,10000
190,0,3,0.001,0,1,0,0,0,0,1,100,0.01,1,10000
190,30,3,0.001,4.3978,1,0,0,0,0,1,100,0.01,1,10000
190,60,3,0.001,0.9769,1,0,0,0,0,1,100,0.01,1,10000
190,90,3,0.001,9.3882,1,0,0,0,0,1,100,0.01,1,10000
210,0,3,0.001,0,1,0,0,0,0,1,100,0.01,1,10000
210,30,3,0.001,5.8196,1,0,0,0,0,1,100,0.01,1,10000
210,60,3,0.001,7.2546,1,0,0,0,0,1,100,0.01,1,10000
210,90,3,0.001,8.2646,1,0,0,0,0,1,100,0.01,1,10000
230,0,3,0.001,0,1,0,0,0,0,1,100,0.01,1,10000
230,30,3,0.001,7.3645,1,0,0,0,0,1,100,0.01,1,10000
230,60,3,0.001,1.0443,1,0,0,0,0,1,100,0.01,1,10000
230,90,3,0.001,0.9767,1,0,0,0,0,1,100,0.01,1,10000
250,0,3,0.001,0,1,0,0,0,0,1,100,0.01,1,10000
250,30,3,0.001,3.5490,1,0,0,0,0,1,100,0.01,1,10000
250,60,3,0.001,1.3051,1,0,0,0,0,1,100,0.01,1,10000
250,90,3,0.001,0.3522,1,0,0,0,0,1,100,0.01,1,10000
130,0,5,0.00001,0,0,1,0,0,0,1,1,0.0001,0.01,100
130,30,5,0.00001,0.0342,0,1,0,0,0,1,1,0.0001,0.01,100
150,0,5,0.00001,0.0000,0,1,0,0,0,1,1,0.0001,0.01,100
150,30,5,0.00001,0.0481,0,1,0,0,0,1,1,0.0001,0.01,100
170,0,5,0.00001,0,0,1,0,0,0,1,1,0.0001,0.01,100
170,30,5,0.00001,0.2186,0,1,0,0,0,1,1,0.0001,0.01,100
170,60,5,0.00001,0.1647,0,1,0,0,0,1,1,0.0001,0.01,100
170,90,5,0.00001,4.8659,0,1,0,0,0,1,1,0.0001,0.01,100
190,0,5,0.00001,0,0,1,0,0,0,1,1,0.0001,0.01,100
190,30,5,0.00001,2.1729,0,1,0,0,0,1,1,0.0001,0.01,100
190,60,5,0.00001,8.6198,0,1,0,0,0,1,1,0.0001,0.01,100
190,90,5,0.00001,7.6881,0,1,0,0,0,1,1,0.0001,0.01,100
210,0,5,0.00001,0,0,1,0,0,0,1,1,0.0001,0.01,100
210,30,5,0.00001,5.2739,0,1,0,0,0,1,1,0.0001,0.01,100
210,60,5,0.00001,6.9323,0,1,0,0,0,1,1,0.0001,0.01,100
210,90,5,0.00001,1.9988,0,1,0,0,0,1,1,0.0001,0.01,100
230,0,5,0.00001,0,0,1,0,0,0,1,1,0.0001,0.01,100
230,30,5,0.00001,5.9754,0,1,0,0,0,1,1,0.0001,0.01,100
230,60,5,0.00001,3.7840,0,1,0,0,0,1,1,0.0001,0.01,100
230,90,5,0.00001,1.1627,0,1,0,0,0,1,1,0.0001,0.01,100
250,0,5,0.00001,0,0,1,0,0,0,1,1,0.0001,0.01,100
250,30,5,0.00001,1.0691,0,1,0,0,0,1,1,0.0001,0.01,100
250,60,5,0.00001,0.7940,0,1,0,0,0,1,1,0.0001,0.01,100
250,90,5,0.00001,0.5551,0,1,0,0,0,1,1,0.0001,0.01,100
130,0,3,0.001,0,0,1,0,0,0,1,100,0.01,1,10000
130,30,3,0.001,0.0507,0,1,0,0,0,1,100,0.01,1,10000
150,0,3,0.001,0,0,1,0,0,0,1,100,0.01,1,10000
150,30,3,0.001,0.0676,0,1,0,0,0,1,100,0.01,1,10000
170,0,3,0.001,0,0,1,0,0,0,1,100,0.01,1,10000
170,30,3,0.001,0.4742,0,1,0,0,0,1,100,0.01,1,10000
170,60,3,0.001,7.7703,0,1,0,0,0,1,100,0.01,1,10000
170,90,3,0.001,1.4481,0,1,0,0,0,1,100,0.01,1,10000
190,0,3,0.001,0,0,1,0,0,0,1,100,0.01,1,10000
190,30,3,0.001,4.6856,0,1,0,0,0,1,100,0.01,1,10000
190,60,3,0.001,9.5135,0,1,0,0,0,1,100,0.01,1,10000
190,90,3,0.001,9.1000,0,1,0,0,0,1,100,0.01,1,10000
210,0,3,0.001,0,0,1,0,0,0,1,100,0.01,1,10000
210,30,3,0.001,9.6248,0,1,0,0,0,1,100,0.01,1,10000
210,60,3,0.001,1.7423,0,1,0,0,0,1,100,0.01,1,10000
210,90,3,0.001,9.4783,0,1,0,0,0,1,100,0.01,1,10000
230,0,3,0.001,0,0,1,0,0,0,1,100,0.01,1,10000
230,30,3,0.001,9.2933,0,1,0,0,0,1,100,0.01,1,10000
230,60,3,0.001,3.5702,0,1,0,0,0,1,100,0.01,1,10000
230,90,3,0.001,0.3634,0,1,0,0,0,1,100,0.01,1,10000
250,0,3,0.001,0,0,1,0,0,0,1,100,0.01,1,10000
250,30,3,0.001,2.4421,0,1,0,0,0,1,100,0.01,1,10000
250,60,3,0.001,0.2229,0,1,0,0,0,1,100,0.01,1,10000
250,90,3,0.001,0.1725,0,1,0,0,0,1,100,0.01,1,10000
130,0,5,0.00001,0,0,0,1,0,1,0,1,0.0001,0.01,100
130,30,5,0.00001,0.0415,0,0,1,0,1,0,1,0.0001,0.01,100
150,0,5,0.00001,0.0000,0,0,1,0,1,0,1,0.0001,0.01,100
150,30,5,0.00001,0.0505,0,0,1,0,1,0,1,0.0001,0.01,100
170,0,5,0.00001,0,0,0,1,0,1,0,1,0.0001,0.01,100
170,30,5,0.00001,0.4008,0,0,1,0,1,0,1,0.0001,0.01,100
170,60,5,0.00001,2.8536,0,0,1,0,1,0,1,0.0001,0.01,100
170,90,5,0.00001,4.6190,0,0,1,0,1,0,1,0.0001,0.01,100
190,0,5,0.00001,0,0,0,1,0,1,0,1,0.0001,0.01,100
190,30,5,0.00001,4.7637,0,0,1,0,1,0,1,0.0001,0.01,100
190,60,5,0.00001,4.7690,0,0,1,0,1,0,1,0.0001,0.01,100
190,90,5,0.00001,8.2919,0,0,1,0,1,0,1,0.0001,0.01,100
210,0,5,0.00001,0,0,0,1,0,1,0,1,0.0001,0.01,100
210,30,5,0.00001,3.9819,0,0,1,0,1,0,1,0.0001,0.01,100
210,60,5,0.00001,4.0174,0,0,1,0,1,0,1,0.0001,0.01,100
210,90,5,0.00001,0.5100,0,0,1,0,1,0,1,0.0001,0.01,100
230,0,5,0.00001,0,0,0,1,0,1,0,1,0.0001,0.01,100
230,30,5,0.00001,9.5609,0,0,1,0,1,0,1,0.0001,0.01,100
230,60,5,0.00001,1.0064,0,0,1,0,1,0,1,0.0001,0.01,100
230,90,5,0.00001,0.9504,0,0,1,0,1,0,1,0.0001,0.01,100
250,0,5,0.00001,0,0,0,1,0,1,0,1,0.0001,0.01,100
250,30,5,0.00001,3.1644,0,0,1,0,1,0,1,0.0001,0.01,100
250,60,5,0.00001,0.4277,0,0,1,0,1,0,1,0.0001,0.01,100
250,90,5,0.00001,0.1310,0,0,1,0,1,0,1,0.0001,0.01,100
130,0,3,0.001,0,0,0,1,0,1,0,100,0.01,1,10000
130,30,3,0.001,0.0634,0,0,1,0,1,0,100,0.01,1,10000
150,0,3,0.001,0,0,0,1,0,1,0,100,0.01,1,10000
150,30,3,0.001,0.2284,0,0,1,0,1,0,100,0.01,1,10000
170,0,3,0.001,0,0,0,1,0,1,0,100,0.01,1,10000
170,30,3,0.001,0.5773,0,0,1,0,1,0,100,0.01,1,10000
170,60,3,0.001,3.4943,0,0,1,0,1,0,100,0.01,1,10000
170,90,3,0.001,2.0932,0,0,1,0,1,0,100,0.01,1,10000
190,0,3,0.001,0,0,0,1,0,1,0,100,0.01,1,10000
190,30,3,0.001,7.3284,0,0,1,0,1,0,100,0.01,1,10000
190,60,3,0.001,8.6394,0,0,1,0,1,0,100,0.01,1,10000
190,90,3,0.001,8.3479,0,0,1,0,1,0,100,0.01,1,10000
210,0,3,0.001,0,0,0,1,0,1,0,100,0.01,1,10000
210,30,3,0.001,8.1367,0,0,1,0,1,0,100,0.01,1,10000
210,60,3,0.001,8.5245,0,0,1,0,1,0,100,0.01,1,10000
210,90,3,0.001,5.4210,0,0,1,0,1,0,100,0.01,1,10000
230,0,3,0.001,0,0,0,1,0,1,0,100,0.01,1,10000
230,30,3,0.001,2.4639,0,0,1,0,1,0,100,0.01,1,10000
230,60,3,0.001,2.3741,0,0,1,0,1,0,100,0.01,1,10000
230,90,3,0.001,0.3429,0,0,1,0,1,0,100,0.01,1,10000
250,0,3,0.001,0,0,0,1,0,1,0,100,0.01,1,10000
250,30,3,0.001,1.6625,0,0,1,0,1,0,100,0.01,1,10000
250,60,3,0.001,0.6527,0,0,1,0,1,0,100,0.01,1,10000
250,90,3,0.001,0.6596,0,0,1,0,1,0,100,0.01,1,10000
130,0,5,0.00001,0,0,0,0,1,1,0,1,0.0001,0.01,100
130,30,5,0.00001,0.6968,0,0,0,1,1,0,1,0.0001,0.01,100
150,0,5,0.00001,0.0000,0,0,0,1,1,0,1,0.0001,0.01,100
150,30,5,0.00001,0.0703,0,0,0,1,1,0,1,0.0001,0.01,100
170,0,5,0.00001,0,0,0,0,1,1,0,1,0.0001,0.01,100
170,30,5,0.00001,0.1427,0,0,0,1,1,0,1,0.0001,0.01,100
170,60,5,0.00001,0.4983,0,0,0,1,1,0,1,0.0001,0.01,100
170,90,5,0.00001,1.4287,0,0,0,1,1,0,1,0.0001,0.01,100
190,0,5,0.00001,0,0,0,0,1,1,0,1,0.0001,0.01,100
190,30,5,0.00001,1.7174,0,0,0,1,1,0,1,0.0001,0.01,100
190,60,5,0.00001,2.1711,0,0,0,1,1,0,1,0.0001,0.01,100
190,90,5,0.00001,5.8680,0,0,0,1,1,0,1,0.0001,0.01,100
210,0,5,0.00001,0,0,0,0,1,1,0,1,0.0001,0.01,100
210,30,5,0.00001,5.1707,0,0,0,1,1,0,1,0.0001,0.01,100
210,60,5,0.00001,6.4542,0,0,0,1,1,0,1,0.0001,0.01,100
210,90,5,0.00001,1.3733,0,0,0,1,1,0,1,0.0001,0.01,100
230,0,5,0.00001,0,0,0,0,1,1,0,1,0.0001,0.01,100
230,30,5,0.00001,3.8769,0,0,0,1,1,0,1,0.0001,0.01,100
230,60,5,0.00001,2.8401,0,0,0,1,1,0,1,0.0001,0.01,100
230,90,5,0.00001,0.3766,0,0,0,1,1,0,1,0.0001,0.01,100
250,0,5,0.00001,0,0,0,0,1,1,0,1,0.0001,0.01,100
250,30,5,0.00001,3.5881,0,0,0,1,1,0,1,0.0001,0.01,100
250,60,5,0.00001,0.8155,0,0,0,1,1,0,1,0.0001,0.01,100
250,90,5,0.00001,0.9639,0,0,0,1,1,0,1,0.0001,0.01,100
130,0,3,0.001,0,0,0,0,1,1,0,100,0.01,1,10000
130,30,3,0.001,0.0770,0,0,0,1,1,0,100,0.01,1,10000
150,0,3,0.001,0,0,0,0,1,1,0,100,0.01,1,10000
150,30,3,0.001,0.1105,0,0,0,1,1,0,100,0.01,1,10000
170,0,3,0.001,0,0,0,0,1,1,0,100,0.01,1,10000
170,30,3,0.001,1.4696,0,0,0,1,1,0,100,0.01,1,10000
170,60,3,0.001,2.7027,0,0,0,1,1,0,100,0.01,1,10000
170,90,3,0.001,6.3389,0,0,0,1,1,0,100,0.01,1,10000
190,0,3,0.001,0,0,0,0,1,1,0,100,0.01,1,10000
190,30,3,0.001,3.7263,0,0,0,1,1,0,100,0.01,1,10000
190,60,3,0.001,6.5531,0,0,0,1,1,0,100,0.01,1,10000
190,90,3,0.001,7.1172,0,0,0,1,1,0,100,0.01,1,10000
210,0,3,0.001,0,0,0,0,1,1,0,100,0.01,1,10000
210,30,3,0.001,8.2946,0,0,0,1,1,0,100,0.01,1,10000
210,60,3,0.001,7.1840,0,0,0,1,1,0,100,0.01,1,10000
210,90,3,0.001,7.1245,0,0,0,1,1,0,100,0.01,1,10000
230,0,3,0.001,0,0,0,0,1,1,0,100,0.01,1,10000
230,30,3,0.001,4.4262,0,0,0,1,1,0,100,0.01,1,10000
230,60,3,0.001,3.4871,0,0,0,1,1,0,100,0.01,1,10000
230,90,3,0.001,1.1217,0,0,0,1,1,0,100,0.01,1,10000
250,0,3,0.001,0,0,0,0,1,1,0,100,0.01,1,10000
250,30,3,0.001,1.2662,0,0,0,1,1,0,100,0.01,1,10000
250,60,3,0.001,1.0284,0,0,0,1,1,0,100,0.01,1,10000
250,90,3,0.001,1.2725,0,0,0,1,1,0,100,0.01,1,10000
